9443	-40.10	10.69	0.00	-0.67
9542	-39.24	10.35	0.00	0.00
9641	-38.37	10.02	0.00	0.00
9740	-37.50	9.70	0.00	0.00
9839	-36.61	9.37	0.00	0.00
9938	-35.72	9.06	0.00	0.00
10037	-34.82	8.75	0.00	0.00
10136	-33.91	8.44	0.00	0.00
10235	-33.00	8.14	0.00	0.00
10334	-32.07	7.84	0.00	0.00
10433	-31.14	7.55	0.00	0.00
10532	-30.20	7.26	0.00	0.00
10631	-29.25	6.98	0.00	0.00
10730	-28.29	6.70	0.00	0.00
10829	-27.33	6.41	0.00	0.00
10928	-26.35	6.13	0.00	0.00
11027	-25.37	5.86	0.00	0.00
11126	-24.38	5.59	0.00	0.00
11225	-23.39	5.33	0.00	0.00
11324	-22.38	5.06	0.00	0.00
11423	-21.37	4.80	0.00	0.00
11522	-20.35	4.54	0.00	0.00
11621	-19.33	4.28	0.00	0.00
11720	-18.29	4.03	0.00	0.00
11819	-17.25	3.77	0.00	0.00
11918	-16.20	3.53	0.00	0.00
12017	-15.15	3.27	0.00	0.00
12116	-14.09	3.02	0.00	0.00
12215	-13.03	2.77	0.00	0.00
12314	-11.96	2.52	0.00	0.00
12413	-10.88	2.30	0.00	0.00
12512	-9.80	2.06	0.00	0.00
12611	-8.71	1.83	0.00	0.00
12710	-7.62	1.59	0.00	0.00
12809	-6.53	1.33	0.00	0.00
12908	-5.44	1.09	0.00	0.00
13007	-4.33	0.86	0.00	0.00
13106	-3.23	0.64	0.00	0.00
13205	-2.13	0.38	0.00	0.00
13304	-1.01	0.21	0.00	0.00
13403	-1.61	-0.76	0.00	0.00
13502	-1.02	0.21	0.00	0.00
13601	-0.70	-0.87	0.00	0.00
13700	-0.97	0.23	0.00	0.00
13799	-0.81	-0.90	0.00	0.00
13898	-0.95	0.23	0.00	0.00
13997	-0.70	-0.88	0.00	0.00
14096	-1.02	0.21	0.00	0.00
14195	-0.52	-0.81	0.00	0.00
14294	-0.99	0.23	0.00	0.00
14393	-0.22	-0.61	0.00	0.00
14492	-0.95	0.26	0.00	0.00
14591	-1.31	-0.82	0.00	0.00
14690	-1.03	0.28	0.00	0.00
14789	-1.59	-0.71	0.00	0.00
14888	-0.89	0.19	0.00	0.00
14987	-2.02	0.29	0.00	0.00
15086	-0.90	0.09	0.00	0.00
15185	-1.31	-0.97	0.00	0.00
15284	-0.90	0.09	0.00	0.00
15383	-2.03	-0.00	0.00	0.00
15482	-0.92	0.19	0.00	0.00
15581	-2.01	0.49	0.00	0.00
15680	-0.96	0.07	0.00	0.00
15779	-0.51	-0.97	0.00	0.00
15878	-0.94	0.08	0.00	0.00
15977	0.12	0.47	0.00	0.00
16076	-0.98	0.19	0.00	0.00
16175	-0.54	-0.86	0.00	0.00
16274	-0.97	0.19	0.00	0.00
16373	0.08	-0.24	0.00	0.00
16472	-0.99	0.14	0.00	0.00
16571	-1.81	-0.65	0.00	0.00
16670	-0.98	0.13	0.00	0.00
16769	-1.56	-0.85	0.00	0.00
16868	-0.98	0.13	0.00	0.00
16967	-1.96	0.69	0.00	0.00
17066	-0.97	0.15	0.00	0.00
17165	-2.10	0.15	0.00	0.00
17264	-0.97	0.14	0.00	0.00
17363	-0.14	-0.64	0.00	0.00
17462	-0.95	0.15	0.00	0.00
17561	-1.83	0.87	0.00	0.00
17660	-0.95	0.15	0.00	0.00
17759	-1.14	-0.97	0.00	0.00
17858	-0.83	0.12	0.00	0.00
17957	-1.94	-0.12	0.00	0.00
18056	-0.82	0.06	0.00	0.00
